Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
5B62410E3FA84374B2BE96214BE349E3,Comprehension and Analysis of Dance Elements,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
95DED7841BEE41BF94D1C522C8A34595,Imitate the movements shown.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
303F636B4332414CA4F661A9552D8BE8,Move in a variety of directed ways.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
D1A87262EA7044CFAFA00CF7BDD5F418,Development of Motor Skills and Technical Expertise,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
67BA8371059B439E8AA18B4E79430A5D,"Artistic Perception – Processing, Analyzing, and Responding to Sensory Information Through the Language and Skills Unique to Dance",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
84C538751E8F404299CD7D30D18FC8CA,Dance,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB72B540DFE30131956D68A86D17958E,"Discuss the various works of art (e.g., ceramics, paintings, sculpture) that artists create and the type of media used.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB7260F0DFE30131956C68A86D17958E,Careers and Career-Related Skills,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB71ECD0DFE30131956B68A86D17958E,"Point out images (e.g., photographs, paintings, murals, ceramics, sculptures) and sym-bols found at home, in school, and in the community, including national and state symbols and icons.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB719720DFE30131956A68A86D17958E,Visual Literacy,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB712E60DFE30131956968A86D17958E,"Look at and draw something used every day (e.g., scissors, toothbrush, fork) and de-scribe how the object is used.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB70D970DFE30131956868A86D17958E,"Draw geometric shapes/forms (e.g., circles, squares, triangles) and repeat them in dance/movement sequences.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB709740DFE30131956768A86D17958E,Connections and Applications,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB705210DFE30131956668A86D17958E,"Connections, Relationships, Applications - Connecting and Applying What Is Learned in the Visual Arts to Other Art Forms and Subject Areas and to Careers",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB700730DFE30131956568A86D17958E,"Give reasons why they like a particular work of art they made, using appropriate art vocabulary.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB6FB770DFE30131956468A86D17958E,Discuss how and why they made a specific work of art.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FB6F7370DFE30131956368A86D17958E,Make Informed Judgments,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
